Time,halTdb,wesTdb,easTdb
141900.0,287.946200608,287.70588342,288.262896326
142200.0,287.968233269,287.711451951,288.246987388
142500.0,287.989312036,287.716869476,288.23111156
142800.0,288.009371624,287.721944872,288.215177511
143100.0,288.028381408,287.726531505,288.199102938
143400.0,288.046328369,287.730502298,288.182816578
143700.0,288.063210234,287.733901201,288.166256677
144000.0,288.07902954,287.733225681,288.149316884
144300.0,288.093691043,287.720091631,288.131923264
144600.0,288.1071551,287.711846911,288.110016002
144900.0,288.119593384,287.709366925,288.085287002
145200.0,288.131186596,287.713896997,288.058766741
145500.0,288.142121394,287.726821205,288.031082353
145800.0,288.152585184,287.749349078,288.002652186
146100.0,288.162401558,287.740067919,287.975545392
146400.0,288.1712044,287.706340412,287.949527422
146700.0,288.178696011,287.657490249,287.924356155
147000.0,288.184693771,287.600310993,287.899764286
147300.0,288.189108748,287.539792758,287.875514935
147600.0,288.191925491,287.47980766,287.851414265
147900.0,288.191935639,286.939596855,287.351751059
148200.0,288.187760727,286.561916647,287.019858131
148500.0,288.179436623,286.31391102,286.806937931
148800.0,288.167276193,286.146286144,286.664373247
149100.0,288.151698537,286.026718915,286.562668155
149400.0,288.133178923,285.934926251,286.483985013
149700.0,288.112176418,285.859474363,286.418531175
150000.0,288.08910166,285.79405621,286.361024728
150300.0,288.064305627,285.735200243,286.308624281
150600.0,288.038083031,285.680964007,286.259781517
150900.0,288.010678667,285.630266185,286.213668128
151200.0,287.98229558,285.582511628,286.169859343
151500.0,287.953103564,285.537388056,286.128165085
151800.0,287.923223456,285.499402698,286.092843646
152100.0,287.892948085,285.465912524,286.061518817
152400.0,287.862370837,285.435719276,286.033033742
152700.0,287.831603885,285.408006009,286.006633008
153000.0,287.800747279,285.382272772,285.9818703
153300.0,287.769885001,285.358198891,285.958468342
153600.0,287.739086578,285.335565473,285.936243718
153900.0,287.708409325,285.314213081,285.915066617
154200.0,287.677900432,285.294018522,285.894839088
154500.0,287.647598745,285.274881924,285.875483119
154800.0,287.617536242,285.256719382,285.856933966
155100.0,287.558943191,285.239414993,285.839095472
155400.0,287.50633883,285.220766385,285.81979357
155700.0,287.458203108,285.201572184,285.799843583
156000.0,287.413468931,285.182259646,285.779682976
156300.0,287.37137706,285.163053887,285.759544462
156600.0,287.331379412,285.144069906,285.739549582
156900.0,287.29307436,285.125362764,285.719759456
157200.0,287.256163299,285.106955058,285.700202436
157500.0,287.220421164,285.088852002,285.680889216
157800.0,287.185676139,285.071049716,285.661821109
158100.0,287.151795431,285.053539779,285.642994573
158400.0,287.118675177,285.036311714,285.624403688
158700.0,287.086104351,284.994679922,285.581442554
159000.0,287.053985507,284.963496122,285.548936839
159300.0,287.02227044,284.93825542,285.522320529
159600.0,286.990935435,284.916415602,285.499039261
159900.0,286.959943055,284.896611433,285.477736395
160200.0,286.929288483,284.878132947,285.457710065
160500.0,286.898972509,284.860543612,285.438531689
160800.0,286.868994546,284.843584093,285.419949226
161100.0,286.839353332,284.827101629,285.40181595
161400.0,286.810047002,284.811004998,285.384045438
161700.0,286.781073141,284.795238205,285.366585478
162000.0,286.752428862,284.779765473,285.349403304
162300.0,286.724110894,284.764562758,285.33247731
162600.0,286.696116617,284.749767051,285.316000623
162900.0,286.668443897,284.735302594,285.299877882
163200.0,286.641090345,284.721122791,285.284052054
163500.0,286.614053256,284.707198142,285.268488244
163800.0,286.587329632,284.69350918,285.253164361
164100.0,286.560916236,284.680042394,285.238065781
164400.0,286.534809654,284.666787882,285.223182302
164700.0,286.509006349,284.653737998,285.208506409
165000.0,286.483502705,284.64088656,285.194032277
165300.0,286.458295068,284.628228396,285.179755195
165600.0,286.433379779,284.615759065,285.165671235
165900.0,286.408753194,284.603474688,285.151777042
166200.0,286.384371998,284.583642792,285.130393874
166500.0,286.360152522,284.559265648,285.104553287
166800.0,286.336035961,284.532280375,285.076195801
167100.0,286.311966656,284.503873611,285.046506008
167400.0,286.28789959,284.47479944,285.016236077
167700.0,286.263801137,284.445575327,284.985904495
168000.0,286.239648647,284.416599871,284.955914885
168300.0,286.215429843,284.388226884,284.926630579
168600.0,286.1911424,284.36081686,284.898426588
168900.0,286.166793948,284.334779233,284.871732659
169200.0,286.142402738,284.31061281,284.847075267
169500.0,286.117999106,284.288954372,284.825130489
169800.0,286.093576304,284.261852972,284.796745401
170100.0,286.069100602,284.232272171,284.76536464
170400.0,286.044544477,284.201836386,284.732880299
170700.0,286.019889187,284.17137727,284.700266509
171000.0,285.995124428,284.141294,284.667995691
171300.0,285.97024692,284.111755955,284.63627336
171600.0,285.945258925,284.082809414,284.605162093
171900.0,285.920166144,284.054455547,284.574670436
172200.0,285.894977105,284.026661318,284.544767123
172500.0,285.869701994,283.999382727,284.515407476
172800.0,285.844351794,283.972575915,284.48654607
173100.0,285.818937761,283.946200019,284.45814017
173400.0,285.793479081,283.921784253,284.431858843
173700.0,285.768003112,283.898539603,284.406837156
174000.0,285.742534644,283.876021253,284.382590858
174300.0,285.717094215,283.853980266,284.358850675
174600.0,285.69169801,283.832274019,284.335463344
174900.0,285.666358234,283.810818155,284.31233883
175200.0,285.641083773,283.789560761,284.289422101
175500.0,285.615880982,283.768468435,284.266677988
175800.0,285.590757116,283.747522627,284.244087096
176100.0,285.565717757,283.726708988,284.221634546
176400.0,285.540765615,283.706014685,284.199307107
176700.0,285.515902579,283.685430009,284.17709483
177000.0,285.491078057,283.663813268,284.153754848
177300.0,285.466319499,283.64164756,284.129815823
177600.0,285.441622174,283.619230454,284.105603356
177900.0,285.416980724,283.596731449,284.081302141
178200.0,285.392390711,283.57424471,284.057014353
178500.0,285.367848836,283.55182145,284.03279536
178800.0,285.343352859,283.529488687,284.008674296
179100.0,285.318901422,283.507259909,283.984665696
179400.0,285.294493874,283.485141084,283.960776019
179700.0,285.270130104,283.463134036,283.937007299
180000.0,285.245810403,283.441238337,283.913359166
180300.0,285.22153535,283.419452363,283.889829981
180600.0,285.19731884,283.399528601,283.86816794
180900.0,285.173170738,283.38085383,283.847753066
